ahu	ahuria
arahi	arahina
hahau	hahautia
hakuhaku	hakuhakua
hari	haria
haupapa	haupapatia
hihiri	hihiritia
hoko	hokona
hui	huia
hākere	hākerea
hīrau	hīrautia
hāwhe	hāwhetia
inaki	inakitia
iti	itihaere
karanga	karangahia
kare	karea
kari	karia
karo	karohia
kauwhau	kauwhautia
kihi	kihia
koro	koroa
kōhue	kōhuetia
kōpake	kōpaketia
kōwhiri	kōwhiria
mea	meatia
minita	minitatia
muku	mukua
muna	munaia
mutumutu	mutumutua
mākutu	mākuturia
mōunu	mōunutia
narunga	narungatia
ngau	ngaua
nuka	nukaia
poro	poroa
pupuri	puritia
pēnei	pēneitia
pīrangi	pīrangitia
pūremu	pūremutia
pāuna	pāunatia
pēwhea	pēwheatia
rehe	rehea
riringi	riringihia
romi	romia
rori	roria
ruku	rukuhia
rumaki	rumakina
rīngi	rīngihia
rārangi	rārangitia
rāwhera	rāwheratia
tahitahi	tahitahia
taiapo	taiapotia
takapau	takapauria
tamumu	tamumutia
tapatapahi	tapatapahia
tapi	tapia
totohe	totohea
tou	toua
turaki	turakina
tū	tūria
tāhae	tāhaetia
tāpatu	tāpatutia
tāpiri	tāpiritia
tāpuke	tāpuketia
uta	utaina
waha	wahaa
weku	wekua
wete	wetekia
whakaara	whakaarahia
whakaeke	whakaekea
whakaemi	whakaemia
whakaheke	whakahekea
whakaingoa	whakaingoatia
whakairo	whakairohia
whakaiti	whakaitia
whakakaha	whakakahangia
whakakapi	whakakapia
whakakoi	whakakoia
whakakāhore	whakakāhoretia
whakamahi	whakamahia
whakamau	whakamaua
whakaputa	whakaputaina
whakareka	whakarekangia
whakatairanga	whakatairangatia
whakatara	whakataraa
whakawhirinaki	whakawhirinakitia
whakawhiti	whakawhitia
whana	whanaia
whawhai	whawhaitia
where	wherea
wāhi	wāhia
